"Nombre Equipo","Colegio","Capitan","Coach","Integrante 1","Integrante 2","Integrante 3"
"Speed Runner 1","Inst. Los Próceres","Carlos Mendoza","Prof. Ana Ríos","Luis","Maria","Jose"
"Speed Runner 2","Colegio La Fe","Sofía García","Prof. Ramón Díaz","Pedro","Elena",""
"Speed Runner 3","U.E. Libertador","Miguel Ruiz","Prof. Carmen López","Ana","Diego",""
"Speed Runner 4","Liceo Bolivariano","Laura Fernández","Prof. Luis Salazar","Carlos","Sonia",""
"Speed Runner 5","Inst. Técnico","Daniela Ortiz","Prof. Patricia Mora","Fernando","Camila",""
"Speed Runner 6","Colegio Adventista","Alejandro Romero","Prof. Eduardo Guzmán","Natalia","Oscar",""
"Speed Runner 7","U.E. Experimental","Gabriela Parra","Prof. Ingrid Núñez","Ricardo","Lorena",""
"Speed Runner 8","Liceo Nacional","Juan Vega","Prof. Roberto Alvarado","Paola","Sergio",""
"Speed Runner 9","Inst. Universitario","Andrés Bello","Prof. Luis Ramos","Victor","Diana",""
"Speed Runner 10","Colegio Británico","Lucía Santos","Prof. Maria Cruz","Felipe","Karen",""
